asin,brand,color,medium_image_url,product_type_name,title,formatted_price
B018ROZNYI,Krezy Case,Black,https://images-na.ssl-images-amazon.com/images/I/41kDGJEATmL._SL160_.jpg,SHIRT,krezy case girls beach hair dont care tank top xtra large black ,$14.99
B00W5W318E,Iguana,Multi,https://images-na.ssl-images-amazon.com/images/I/51aE78iao1L._SL160_.jpg,SHIRT,iguana womens hand painted purple  black shirt jacket xl ,$110.99
B01N9P2RMV,Jenni by Jennifer Moore,Grey/White,https://images-na.ssl-images-amazon.com/images/I/41QASJN2eEL._SL160_.jpg,SHIRT,jenni jennifer moore greywhite color reversible vest size ,$19.99
B01LY4GQY0,Doxi Supermall,White,https://images-na.ssl-images-amazon.com/images/I/41MxRBlQcDL._SL160_.jpg,SHIRT,doxi women 3cat sexy crop top sleeveless vest short shirts tank tops girls ,$16.99
B0758G15N4,Edista,White,https://images-na.ssl-images-amazon.com/images/I/51C-MhDw%2B6L._SL160_.jpg,SHIRT,edista womens medium floral watercolor tank top white ,$38.00
B071CNF1SF,Brush Ethyl,Turquoise/Berry,https://images-na.ssl-images-amazon.com/images/I/51YTEVEjBeL._SL160_.jpg,SHIRT,womens 2fer sheer blouse w tank small turquoiseberry brush ethyl ,$34.30
B074HSCX3X,Nanon,Yellow,https://images-na.ssl-images-amazon.com/images/I/41PnyojAl4L._SL160_.jpg,SHIRT,yellow lao laos laotian 34 sleeve button shirt blouse top sz 40 l b40f ,$35.00
B01N1RKIB3,Utopiat,White,https://images-na.ssl-images-amazon.com/images/I/41lxeEKeMJL._SL160_.jpg,SHIRT,tank top  snow white womensgirls white ,$19.99
B00G3CHCKU,Miss Sixty,Pink,https://images-na.ssl-images-amazon.com/images/I/31zcoLbORmL._SL160_.jpg,SHIRT,miss sixty pink polyester sleeveless top blouse small pink ,$49.99
B01BP03T2E,Michael Kors,Citrus,https://images-na.ssl-images-amazon.com/images/I/41YkoAIYpBL._SL160_.jpg,SHIRT,michael kors womens medium contrast tank blouse yellow ,$27.29
B01L6V015A,Dantiya,Red,https://images-na.ssl-images-amazon.com/images/I/41-r7MuBCbL._SL160_.jpg,SHIRT,dantiya womens shoulder flounced collar vest cute tops loose blouse red ,$20.99
B01NBJ7GBO,Buffalo David Bitton,Denim,https://images-na.ssl-images-amazon.com/images/I/51-7MAdbSIL._SL160_.jpg,SHIRT,buffalo david bitton womens sleeveless button shirt xl denim ,$32.47
B0193MZHIK,JACHS Girlfriend,Teal Blue,https://images-na.ssl-images-amazon.com/images/I/51e0PJnmSXL._SL160_.jpg,SHIRT,jachs girlfriend plaid womens flannel roll tab shirt xxlarge teal ,$19.99
B01N8RT2Z3,Eagle,Black,https://images-na.ssl-images-amazon.com/images/I/41sfDc7%2BvpL._SL160_.jpg,SHIRT,eagle u2 womens fashion tee flower life black ,$7.50
B074P9KB3V,West Kei,Red,https://images-na.ssl-images-amazon.com/images/I/41tPVzSmDGL._SL160_.jpg,SHIRT,west kei wine womens large sharkbite tank blouse red l ,$11.97
B01KFMD48M,Jordache,Green/Greystripe,https://images-na.ssl-images-amazon.com/images/I/41xTd10VV0L._SL160_.jpg,SHIRT,jordache womens sheer cap sleeve hilo knit top greengrey stripe large ,$15.99
B06VWB4XFF,Exotic India,Green,https://images-na.ssl-images-amazon.com/images/I/418pKyxUXLL._SL160_.jpg,SHIRT,exotic india capuletolive ari embroidered kaftan kashmir  green ,$135.00
B01F7N0BTE,Shoshanna,Ivory/Canteloupe,https://images-na.ssl-images-amazon.com/images/I/51fW9ILbA4L._SL160_.jpg,SHIRT,shoshanna womens laura silk flutter short sleeve top sz 2 ivorycanteloupe 200619e ,$121.00
